LocalID,Report Date,Year of Death,First Sample Year,Species,Location,Latitude,Longitude,Sex,Age,Sampled,Definitive Case,Presumptive Case,Case,AnyTissueCulture,ACTissueCulture,AnyTissueCultureOrPCR,ACTissueCultureOrPCR,AnySoilCulture,ACSoilCulture,AnySoilCultureOrPCR,ACSoilCultureOrPCR,AnyTissueSoilCulture,ACTissueSoilCulture,AnyTissueSoilCultureOrPCR,ACTissueSoilCultureOrPCR
MX-22-49,20-Aug-22,Unknown,2022,Muskox,Ellesmere,80.153641,-85.229704,U,NA,Y,N,N,N,N,N,Y,Y,NA,NA,NA,NA,N,N,Y,Y
MX-22-50,20-Aug-22,Unknown,2022,Muskox,Ellesmere,80.162207,-85.245435,F,5,Y,N,N,N,Y,Y,Y,Y,NA,NA,NA,NA,Y,Y,Y,Y
MX-22-51,18-Aug-22,Unknown,2023,Muskox,Ellesmere,80.157306,-85.50015,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-22-52,20-Aug-22,Unknown,NA,Muskox,Ellesmere,80.156333,-85.484641,F,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-22-DUMP-01,27-Jul-22,Unknown,2022,Muskox,Ellesmere,79.940812,-85.331077,U,NA,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-22-F-01,27-Jul-22,2022,2022,Muskox,Ellesmere,79.894662,-84.452147,M,4,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-F-02,28-Jul-22,2022,2022,Muskox,Ellesmere,79.8048,-84.597049,F,4,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y
MX-22-F-03,30-Jul-22,2022,2022,Muskox,Axel Heiberg,79.726717,-87.5995,M,5,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-F-04,31-Jul-22,2022,2022,Muskox,Axel Heiberg,79.775342,-87.73153,F,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-F-05,31-Jul-22,2022,2022,Muskox,Axel Heiberg,79.797289,-89.127949,M,5,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-F-06,31-Jul-22,2022,2022,Muskox,Axel Heiberg,79.799998,-89.135063,F,5,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-22-O-01,25-Jul-22,Unknown,2022,Muskox,Ellesmere,80.012684,-85.669764,M,5,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y
MX-22-O-02,26-Jul-22,Unknown,2022,Muskox,Ellesmere,80.157605,-84.969235,M,5,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-O-03,26-Jul-22,Unknown,2022,Muskox,Ellesmere,80.157611,-84.968777,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-22-O-05,26-Jul-22,Unknown,2022,Muskox,Ellesmere,80.018131,-84.716539,M,5,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-22-O-07,NA,Unknown,2022,Muskox,Ellesmere,79.751,-84.7425,U,NA,Y,N,N,N,Y,Y,Y,Y,NA,NA,NA,NA,Y,Y,Y,Y
MX-22-O-08,29-Jul-22,Unknown,2022,Muskox,Ellesmere,80.306428,-85.851744,M,5,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-23-53,06-Aug-23,Unknown,2023,Muskox,Ellesmere,80.143721,-85.355001,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-23-54,06-Aug-23,Unknown,2023,Muskox,Ellesmere,80.143487,-85.385597,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-55,pre-2021,Unknown,2023,Muskox,Ellesmere,80.145175,-85.304719,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-23-56,07-Aug-23,Unknown,2023,Muskox,Ellesmere,80.135369,-85.644553,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-23-57,07-Aug-23,Unknown,NA,Muskox,Ellesmere,80.134728,-85.591675,M,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-23-58,07-Aug-23,Unknown,2023,Muskox,Ellesmere,80.09057,-85.689308,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-23-59,pre-2018,Unknown,NA,Muskox,Ellesmere,80.088851,-85.70379,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-23-60,07-Aug-23,Unknown,NA,Muskox,Ellesmere,80.082952,-85.865926,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-23-61,27-Aug-21,2021,2023,Muskox,Ellesmere,80.22393,-85.41913,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-23-62,27-Aug-21,2021,2023,Muskox,Ellesmere,80.230034,-85.391402,M,5,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-23-63,08-Aug-23,Unknown,2023,Muskox,Ellesmere,80.211757,-85.498093,F,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-23-64,09-Aug-23,Unknown,2023,Muskox,Ellesmere,80.208576,-85.516871,M,5,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-23-65,09-Aug-23,Unknown,2023,Muskox,Ellesmere,80.07694,-85.868913,U,NA,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-66,09-Sep-18,2018,2023,Muskox,Ellesmere,80.086286,-85.807439,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-67,10-Aug-23,Unknown,NA,Muskox,Ellesmere,80.146656,-85.562059,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
